Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category,Status Category Changed
[EXPLR-14] Incorrect Balance After $350 Deposit into Checking with Card #2,SG-23,10022,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Ye Shanzi,712020:3cfdc2d9-064b-47fe-ba28-086c7bcf3ac8,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:15 PM,01/Feb/24 10:19 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Depositing $350 into the Checking account should result in a total balance of $450.

h2. Actual Behavior:

* After the deposit, the total balance displayed was $440, not the expected $450.

h2. Initial State:

* ATM is operational.
* Card #2 is inserted.
* The Checking account has an initial balance before the deposit.

h2. Result:

Fail - The displayed balance after the deposit is incorrect, showing $440 instead of the expected $450.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,To Do,01/Feb/24 10:15 PM
[EXPLR-13] Incorrect Balance After $800 Deposit into Money Market with Card #2,SG-22,10021,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Zhifan Li,60ff1c43e6e6f800718bbedd,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:14 PM,01/Feb/24 10:19 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Depositing $800 into the Money Market account should result in a total balance of $5800.

h2. Actual Behavior:

* After the deposit, the total balance displayed was $5790, not the expected $5800.

h2. Initial State:

* ATM is operational.
* Card #2 is inserted.
* The Money Market account has an initial balance before the deposit.

h2. Result:

Fail - The displayed balance after the deposit is incorrect, showing $5790 instead of the expected $5800.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,To Do,01/Feb/24 10:14 PM
[EXPLR-12] Withdrawal Error from Money Market Account with Card #2,SG-21,10020,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Fardin Aryan,712020:e870b613-b7b7-4002-aa66-89fc1113731b,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:14 PM,01/Feb/24 10:18 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Successfully withdraw $100 from the Money Market account, resulting in a total balance of $4900.

h2. Actual Behavior:

* Attempting the withdrawal resulted in an error message: “Invalid Account type”.

h2. Initial State:

* ATM is operational.
* Card #2 is inserted.
* The Money Market account has a sufficient balance for withdrawal.

h2. Result:

Fail - The system displayed an “Invalid Account type” error when attempting to withdraw from the Money Market account.

h2. Post Regression Test:

*Status*: Pass",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,To Do,01/Feb/24 10:14 PM
[EXPLR-11] Incorrect Account Balance After $40 Withdrawal from Checking with Card #2,SG-20,10019,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Ye Shanzi,712020:3cfdc2d9-064b-47fe-ba28-086c7bcf3ac8,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:13 PM,01/Feb/24 10:19 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* After withdrawing $40 from the Checking account, the remaining balance should be $60.

h2. Actual Behavior:

* Post-withdrawal, the Checking account showed a remaining balance of $40, instead of the expected $60.

h2. Initial State:

* ATM is operational.
* Card #2 is inserted.
* Initial balance in the Checking account is sufficient for withdrawal.

h2. Result:

Fail - The displayed balance after withdrawal was incorrect, showing $40 remaining instead of the expected $60.

h2. Post Regression Test:

*Status*: Pass",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,To Do,01/Feb/24 10:13 PM
[EXPLR-10] Incorrect Account Transfer Direction Indicated on Receipt with Card #2,SG-19,10018,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Zhifan Li,60ff1c43e6e6f800718bbedd,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:12 PM,01/Feb/24 10:19 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Successfully transfer $20 from the Money Market account to the Checking account.

h2. Actual Behavior:

* The receipt incorrectly indicated that the transfer occurred from Checking to Money Market, rather than from Money Market to Checking.

h2. Initial State:

* ATM is operational.
* Card #2 is ready for use.

h2. Result:

Fail - The receipt provided incorrect information about the direction of the transfer.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,To Do,01/Feb/24 10:12 PM
[EXPLR-9] Error in Money Market Account Balance Inquiry with Card #2,SG-18,10017,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Fardin Aryan,712020:e870b613-b7b7-4002-aa66-89fc1113731b,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:12 PM,01/Feb/24 10:18 PM,01/Feb/24 10:29 PM,,,0,"h2. Expected Behavior:

* The ATM should display the current balance of the Money Market account upon inquiry.

h2. Actual Behavior:

* Received an error message stating “Invalid Account type” when attempting to check the balance of the Money Market account.

h2. Initial State:

* ATM is operational.
* Card #2 is inserted.

h2. Result:

Fail - The system failed to display the Money Market account balance, showing an “Invalid Account type” error instead.

h2. Post Regression Test:

*Status*: PASS",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,To Do,01/Feb/24 10:12 PM
[EXPLR-8] Incorrect Transfer Amount from Money Market to Checking with Card #2,SG-17,10016,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Fardin Aryan,712020:e870b613-b7b7-4002-aa66-89fc1113731b,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:11 PM,01/Feb/24 10:19 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Successfully transfer $0.88 from the Money Market account to the Checking account, resulting in a total transfer of $81.76.

h2. Actual Behavior:

* The amount transferred was $81.26 instead of the expected $81.76.

h2. Initial State:

* ATM is operational.
* Card #2 is ready for use.

h2. Result:

Fail - The transferred amount was incorrect, showing $81.26 instead of the expected $81.76.

h2. Post Regression Test:

*Status*: Pass",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,To Do,01/Feb/24 10:11 PM
"[EXPLR-7] No Response on Attempting $100,000,000 Deposit into Chequing with Card #1",SG-16,10015,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Fardin Aryan,712020:e870b613-b7b7-4002-aa66-89fc1113731b,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:09 PM,01/Feb/24 10:25 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Attempting to deposit $100,000,000 into the Chequing account should either update the account balance or display an error message.

h2. Actual Behavior:

* No error message was shown, and the account balance was not updated when attempting to deposit $100,000,000.

h2. Initial State:

* ATM is operational.
* Card #1 is inserted.

h2. Result:

Fail - The system did not respond appropriately to the deposit attempt; there was no error message and no update to the account balance.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,To Do,01/Feb/24 10:09 PM
[EXPLR-6] Errors and Incorrect Display in Money Market Balance Inquiry with Card #1,SG-15,10014,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:09 PM,01/Feb/24 10:09 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* The ATM should display the correct balance of the Money Market account upon inquiry.

h2. Actual Behavior:

* Initially, an ""Unknown error"" occurred, followed by a message ""cannot make inquiry for money market"". When selecting the Money Market option, it showed the Savings account's balance instead.

h2. Initial State:

* ATM is operational.
* Card #1 is inserted.

h2. Result:

Fail - The ATM failed to display the Money Market account balance correctly, showing various errors and incorrect account information.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,To Do,01/Feb/24 10:09 PM
[EXPLR-5] Inaccurate Balance After Depositing $100000 into Savings with Card #1,SG-14,10013,Task,To Do,SG,Seng438-Group9,business,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,Medium,,,,Zhifan Li,60ff1c43e6e6f800718bbedd,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,01/Feb/24 10:07 PM,01/Feb/24 10:08 PM,01/Feb/24 10:38 PM,,,0,"h2. Expected Behavior:

* Depositing $100000 into the Savings account should result in a total balance of $103000.

h2. Actual Behavior:

* After the deposit, the ATM displayed: TOTAL BAL: $102990.00, AVAILABLE: $1000.00.

h2. Initial State:

* ATM is operational.
* Card #1 is inserted.
* Initial balance in the Savings account is $3000.

h2. Result:

Fail - The balance displayed after the deposit is incorrect, showing TOTAL BAL: $102990.00 instead of the expected $103000.

h2. Post Regression Test:

*Status*: Fail",,Sandip,70121:3424725f-a273-45d9-897c-8e30afaf5dcc,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,To Do,01/Feb/24 10:07 PM
